Energy (eV),n 10°,Dichroism 10°,Birefringence 10°,n 80°,Dichroism 80°,Birefringence 80°
254.2,"(np.complex128(0.0019914625273092434+0.0002655312357610729j), np.complex128(0.0019152870189569646+0.00026553123576107283j))",5.421010862427522e-20,7.617550835227883e-05,"(np.complex128(0.0019152870189569646+0.0002655312357610729j), np.complex128(0.0019914625273092434+0.0002655312357610729j))",0.0,-7.617550835227883e-05
254.3,"(np.complex128(0.0019882129404389273+0.00026518477584195444j), np.complex128(0.0019116819446280205+0.0002651847758419544j))",5.421010862427522e-20,7.653099581090683e-05,"(np.complex128(0.0019116819446280205+0.00026518477584195444j), np.complex128(0.0019882129404389273+0.00026518477584195444j))",0.0,-7.653099581090683e-05
254.4,"(np.complex128(0.001984963353568611+0.000264838315922836j), np.complex128(0.0019080768702990764+0.00026483831592283595j))",5.421010862427522e-20,7.688648326953482e-05,"(np.complex128(0.0019080768702990764+0.000264838315922836j), np.complex128(0.001984963353568611+0.000264838315922836j))",0.0,-7.688648326953482e-05
254.5,"(np.complex128(0.0019817137666982955+0.0002644918560037176j), np.complex128(0.0019044717959701325+0.00026449185600371756j))",5.421010862427522e-20,7.724197072816303e-05,"(np.complex128(0.0019044717959701325+0.00026449185600371756j), np.complex128(0.0019817137666982955+0.0002644918560037176j))",-5.421010862427522e-20,-7.724197072816303e-05
254.6,"(np.complex128(0.0019784641798279794+0.0002641453960845992j), np.complex128(0.0019008667216411884+0.0002641453960845991j))",5.421010862427522e-20,7.759745818679102e-05,"(np.complex128(0.0019008667216411884+0.0002641453960845991j), np.complex128(0.0019784641798279794+0.0002641453960845992j))",-5.421010862427522e-20,-7.759745818679102e-05
254.7,"(np.complex128(0.0019752145929576633+0.00026379893616548073j), np.complex128(0.0018972616473122443+0.0002637989361654807j))",5.421010862427522e-20,7.795294564541901e-05,"(np.complex128(0.0018972616473122443+0.0002637989361654807j), np.complex128(0.0019752145929576633+0.00026379893616548073j))",-5.421010862427522e-20,-7.795294564541901e-05
254.8,"(np.complex128(0.001971965006087347+0.0002634524762463623j), np.complex128(0.0018936565729833002+0.00026345247624636224j))",5.421010862427522e-20,7.830843310404701e-05,"(np.complex128(0.0018936565729833002+0.0002634524762463623j), np.complex128(0.001971965006087347+0.0002634524762463623j))",0.0,-7.830843310404701e-05
254.9,"(np.complex128(0.001968715419217031+0.00026310601632724385j), np.complex128(0.0018900514986543563+0.0002631060163272438j))",5.421010862427522e-20,7.866392056267478e-05,"(np.complex128(0.0018900514986543563+0.00026310601632724385j), np.complex128(0.001968715419217031+0.00026310601632724385j))",0.0,-7.866392056267478e-05
255.0,"(np.complex128(0.001965465832346715+0.00026275955640812546j), np.complex128(0.0018864464243254122+0.0002627595564081254j))",5.421010862427522e-20,7.901940802130278e-05,"(np.complex128(0.0018864464243254122+0.0002627595564081254j), np.complex128(0.001965465832346715+0.00026275955640812546j))",-5.421010862427522e-20,-7.901940802130278e-05
255.1,"(np.complex128(0.0019622162454763993+0.000262413096489007j), np.complex128(0.0018828413499964681+0.00026241309648900697j))",5.421010862427522e-20,7.93748954799312e-05,"(np.complex128(0.0018828413499964681+0.00026241309648900697j), np.complex128(0.0019622162454763993+0.000262413096489007j))",-5.421010862427522e-20,-7.93748954799312e-05
255.2,"(np.complex128(0.0019589666586060832+0.0002620666365698886j), np.complex128(0.0018792362756675242+0.0002620666365698885j))",5.421010862427522e-20,7.973038293855898e-05,"(np.complex128(0.0018792362756675242+0.0002620666365698885j), np.complex128(0.0019589666586060832+0.0002620666365698886j))",-5.421010862427522e-20,-7.973038293855898e-05
