eV_,xxTotalf0,zzTotalf0
287.12356178,0.0012308955,0.0077691847
287.14357179,0.0012309711,0.0074372124
287.16358179,0.00123033,0.0071231793
287.1835918,0.0012287643,0.0068286653
287.2036018,0.0012261133,0.0065552751
287.22361181,0.0012222644,0.0063046734
287.24362181,0.0012171491,0.0060785655
287.26363182,0.0012107396,0.0058786655
287.28364182,0.0012030374,0.0057066083
287.30365183,0.0011940697,0.0055638598
287.32366183,0.0011838782,0.0054515959
287.34367184,0.0011725138,0.0053705731
287.36368184,0.0011600301,0.0053210128
287.38369185,0.0011464815,0.0053024902
287.40370185,0.0011319213,0.0053138616
287.42371186,0.0011164005,0.0053532026
287.44372186,0.0010999732,0.0054178
287.46373187,0.0010826973,0.0055041709
287.48374187,0.0010646395,0.0056081442
287.50375188,0.0010458786,0.0057249535
287.52376188,0.0010265092,0.0058493856
287.54377189,0.0010066441,0.0059759598
287.56378189,0.00098641391,0.0060991063
287.5837919,0.00096597039,0.0062133917
287.6038019,0.00094547833,0.0063137105
287.62381191,0.00092511618,0.0063955071
287.64382191,0.00090507104,0.0064549483
287.66383192,0.00088553224,0.0064891079
287.68384192,0.00086668169,0.0064960918
287.70385193,0.00084869273,0.0064751441
287.72386193,0.00083172112,0.0064267162
287.74387194,0.00081590092,0.0063524982
287.76388194,0.00080134219,0.0062554008
287.78389195,0.00078812585,0.006139528
287.80390195,0.00077630661,0.0060100676
287.82391196,0.00076591322,0.0058731982
287.84392196,0.00075694994,0.0057359491
287.86393197,0.00074940134,0.0056060301
287.88394197,0.0007432386,0.00549164
287.90395198,0.00073842349,0.0054012514
287.92396198,0.00073491392,0.0053434055
287.94397199,0.00073266885,0.005326434
287.96398199,0.00073165435,0.0053582476
287.983992,0.00073184475,0.0054460322
288.004002,0.0007332263,0.0055959891
288.02401201,0.00073579646,0.0058130906
288.04402201,0.00073956401,0.0061007878
288.06403202,0.00074454659,0.0064607975
288.08404202,0.00075076701,0.006892879
288.10405203,0.00075825071,0.0073946882
288.12406203,0.00076701673,0.0079616681
288.14407204,0.00077707815,0.0085870167
288.16408204,0.0007884354,0.0092617311
288.18409205,0.00080106698,0.0099747907
288.20410205,0.0008149338,0.010713321
288.22411206,0.00082997081,0.011463008
288.24412206,0.00084608624,0.012208474
288.26413207,0.00086316466,0.012933798
288.28414207,0.00088106451,0.013623052
288.30415208,0.00089962204,0.014260913
288.32416208,0.00091865455,0.014833245
288.34417209,0.00093796622,0.015327686
288.36418209,0.0009573524,0.015734155
288.3841921,0.00097660243,0.0160453
288.4042021,0.00099551887,0.016256759
288.42421211,0.0010139026,0.016367473
288.44422211,0.0010315768,0.016379634
288.46423212,0.0010483813,0.016298622
288.48424212,0.0010641774,0.016132813
288.50425213,0.001078858,0.015893195
288.52426213,0.0010923418,0.015592888
288.54427214,0.0011045756,0.015246606
288.56428214,0.0011155381,0.014870063
288.58429215,0.0011252287,0.014479315
288.60430215,0.0011336725,0.014090215
288.62431216,0.0011409154,0.013717761
288.64432216,0.0011470163,0.013375626
288.66433217,0.0011520493,0.013075676
288.68434217,0.0011560898,0.012827702
288.70435218,0.0011592223,0.012639108
288.72436218,0.0011615254,0.012514835
288.74437219,0.0011630798,0.012457284
288.76438219,0.0011639544,0.012466431
288.7843922,0.0011642206,0.012539912
288.8044022,0.0011639373,0.012673275
288.82441221,0.001163163,0.012860213
288.84442221,0.0011619506,0.013092893
288.86443222,0.0011603577,0.013362288
288.88444222,0.0011584343,0.013658489
288.90445223,0.0011562542,0.01397107
288.92446223,0.0011538826,0.014289426
288.94447224,0.0011514075,0.014603098
288.96448224,0.0011489289,0.014902035
288.98449225,0.0011465654,0.015176917
289.00450225,0.0011444497,0.015419326
289.02451226,0.0011427312,0.015621969
289.04452226,0.0011415764,0.015778854
289.06453227,0.0011411661,0.015885366
289.08454227,0.0011416838,0.015938368
289.10455228,0.001143324,0.015936177
289.12456228,0.0011462743,0.015878614
289.14457229,0.001150718,0.015766865
289.16458229,0.0011568239,0.015603498
289.1845923,0.0011647396,0.015392195
289.2046023,0.0011745847,0.01513776
289.22461231,0.0011864518,0.014845814
289.24462231,0.0012003904,0.014522721
289.26463232,0.0012164157,0.014175304
289.28464232,0.0012344947,0.013810729
289.30465233,0.0012545534,0.013436249
289.32466233,0.0012764795,0.013059121
289.34467234,0.0013001136,0.012686381
289.36468234,0.0013252617,0.0123247
289.38469235,0.0013517016,0.011980287
289.40470235,0.0013791786,0.011658782
289.42471236,0.0014074239,0.011365184
289.44472236,0.0014361528,0.01110377
289.46473237,0.0014650823,0.010878094
289.48474237,0.0014939285,0.010690914
289.50475238,0.001522422,0.010544255
289.52476238,0.0015503112,0.01043937
289.54477239,0.0015773701,0.01037682
289.56478239,0.0016034065,0.010356483
289.5847924,0.0016282619,0.010377661
289.6048024,0.0016518249,0.010439058
289.62481241,0.0016740204,0.01053896
289.64482241,0.0016948242,0.010675234
289.66483242,0.0017142576,0.010845466
289.68484242,0.0017323886,0.011047001
289.70485243,0.0017493278,0.011277073
289.72486243,0.0017652358,0.011532851
289.74487244,0.0017803039,0.011811538
289.76488244,0.0017947651,0.012110407
289.78489245,0.0018088808,0.012426918
289.80490245,0.0018229358,0.01275868
289.82491246,0.0018372424,0.013103594
289.84492246,0.001852114,0.013459724
289.86493247,0.0018678843,0.013825468
289.88494247,0.001884877,0.014199377
289.90495248,0.001903415,0.014580245
289.92496248,0.0019238122,0.014967028
289.94497249,0.0019463646,0.015358737
289.96498249,0.0019713477,0.015754454
289.9849925,0.0019990173,0.016153103
290.0050025,0.0020296129,0.016553586
290.02501251,0.0020633205,0.016954459
290.04502251,0.0021003266,0.017354002
290.06503252,0.0021407707,0.017750066
290.08504252,0.0021847789,0.018140072
290.10505253,0.0022324489,0.018520951
290.12506253,0.0022838467,0.018889051
290.14507254,0.0023390297,0.019240288
290.16508254,0.0023980234,0.01957006
290.18509255,0.0024608378,0.019873442
290.20510255,0.0025274809,0.020145169
290.22511256,0.002597932,0.020379836
290.24512256,0.0026721605,0.020572085
290.26513257,0.0027501332,0.020716734
290.28514257,0.0028318083,0.02080889
290.30515258,0.0029171298,0.020844312
290.32516258,0.0030060392,0.020819403
290.34517259,0.003098469,0.02073149
290.36518259,0.0031943584,0.020578885
290.3851926,0.0032936237,0.020361021
290.4052026,0.0033961905,0.020078463
290.42521261,0.0035019717,0.019733019
290.44522261,0.0036108843,0.019327596
290.46523262,0.0037228323,0.018866226
290.48524262,0.0038377212,0.018353861
290.50525263,0.0039554453,0.017796339
290.52526263,0.0040759239,0.017200189
290.54527264,0.0041990294,0.016572362
290.56528264,0.004324662,0.01592011
290.58529265,0.0044527175,0.015250807
290.60530265,0.0045830677,0.014571676
290.62531266,0.0047156117,0.013889706
290.64532266,0.0048502311,0.013211455
290.66533267,0.0049867993,0.012542939
290.68534267,0.0051252167,0.011889489
290.70535268,0.0052653365,0.011255748
290.72536268,0.00540706,0.010645603
290.74537269,0.0055502439,0.01006217
290.76538269,0.0056947889,0.0095078321
290.7853927,0.0058405432,0.0089842556
290.8054027,0.0059873899,0.0084924195
290.82541271,0.006135195,0.0080327662
290.84542271,0.0062838187,0.0076052062
290.86543272,0.0064331284,0.007209179
290.88544272,0.0065829889,0.0068438016
290.90545273,0.006733255,0.0065079327
290.92546273,0.0068837698,0.0062001892
290.94547274,0.0070343949,0.0059190737
290.96548274,0.0071849623,0.0056629996
290.98549275,0.0073353359,0.0054303538
291.00550275,0.0074853329,0.0052195219
291.02551276,0.0076348092,0.005028951
291.04552276,0.0077835973,0.0048571215
291.06553277,0.0079315184,0.004702609
291.08554277,0.0080784317,0.0045640734
291.10555278,0.0082241707,0.0044402843
291.12556278,0.0083685899,0.0043300977
291.14557279,0.0085114958,0.0042324504
291.16558279,0.0086527877,0.004146399
291.1855928,0.0087922756,0.0040710429
291.2056028,0.0089298198,0.0040056058
291.22561281,0.0090653198,0.00394934
291.24562281,0.00919862,0.0039015918
291.26563282,0.0093296161,0.0038617381
291.28564282,0.0094581889,0.0038292161
291.30565283,0.009584263,0.0038035125
291.32566283,0.0097077321,0.0037841385
291.34567284,0.0098285172,0.0037706401
291.36568284,0.0099465623,0.0037626016
291.38569285,0.010061809,0.0037596275
291.40570285,0.010174219,0.0037613392
291.42571286,0.010283761,0.0037673889
291.44572286,0.010390403,0.003777439
291.46573287,0.01049413,0.0037911665
291.48574287,0.010594991,0.003808276
291.50575288,0.010692938,0.0038284787
291.52576288,0.010788039,0.0038514961
291.54577289,0.01088032,0.0038770677
291.56578289,0.010969806,0.0039049427
291.5857929,0.011056561,0.0039348784
291.6058029,0.011140657,0.0039666519
291.62581291,0.011222138,0.0040000407
291.64582291,0.011301089,0.0040348521
291.66583292,0.011377598,0.0040708627
291.68584292,0.011451767,0.0041079088
291.70585293,0.011523646,0.0041457899
291.72586293,0.011593378,0.0041843462
291.74587294,0.011661064,0.0042234124
291.76588294,0.011726796,0.0042628204
291.78589295,0.011790666,0.004302436
291.80590295,0.011852793,0.0043421057
291.82591296,0.011913322,0.0043816906
291.84592296,0.01197231,0.0044210693
291.86593297,0.012029903,0.0044601103
291.88594297,0.012086207,0.0044986885
291.90595298,0.01214132,0.0045367
291.92596298,0.012195353,0.0045740362
291.94597299,0.012248415,0.0046105869
291.96598299,0.012300608,0.0046462598
291.985993,0.012352021,0.0046809525
292.006003,0.012402768,0.0047145868
292.02601301,0.012452908,0.0047470718
292.04602301,0.012502537,0.0047783386
292.06603302,0.012551741,0.0048083095
292.08604302,0.012600605,0.0048369183
292.10605303,0.012649173,0.0048641022
292.12606303,0.012697525,0.0048898091
292.14607304,0.012745711,0.0049139918
292.16608304,0.012793758,0.0049366085
292.18609305,0.012841742,0.0049576187
292.20610305,0.012889678,0.0049769878
292.22611306,0.012937588,0.0049946993
292.24612306,0.012985514,0.0050107357
292.26613307,0.013033457,0.0050250865
292.28614307,0.013081422,0.0050377473
292.30615308,0.013129422,0.0050487248
292.32616308,0.01317744,0.0050580278
292.34617309,0.013225449,0.0050656674
292.36618309,0.01327344,0.0050716707
292.3861931,0.013321379,0.0050760736
292.4062031,0.013369224,0.0050789062
292.42621311,0.013416964,0.0050802203
292.44622311,0.013464518,0.0050800517
292.46623312,0.013511841,0.0050784564
292.48624312,0.013558882,0.0050755022
292.50625313,0.013605551,0.00507124
292.52626313,0.013651797,0.0050657424
292.54627314,0.013697546,0.0050590867
292.56628314,0.013742696,0.0050513395
292.58629315,0.013787183,0.0050425725
292.60630315,0.013830929,0.0050328816
292.62631316,0.013873843,0.0050223297
292.64632316,0.013915814,0.0050110179
292.66633317,0.013956765,0.0049990076
292.68634317,0.01399659,0.0049864003
292.70635318,0.014035223,0.0049732658
292.72636318,0.014072512,0.0049596885
292.74637319,0.01410838,0.0049457499
292.76638319,0.014142768,0.0049315235
292.7863932,0.014175553,0.0049170856
292.8064032,0.014206663,0.0049025188
292.82641321,0.014235957,0.0048878714
292.84642321,0.014263409,0.004873225
292.86643322,0.014288896,0.004858641
292.88644322,0.014312367,0.0048441621
292.90645323,0.014333723,0.004829858
