eV_,Total_Specf0
297.02851426,0.027087143
297.04852426,0.027117405
297.06853427,0.02714747
297.08854427,0.027177269
297.10855428,0.027206777
297.12856428,0.027235979
297.14857429,0.027264923
297.16858429,0.027293529
297.1885943,0.027321823
297.2086043,0.027349742
297.22861431,0.027377315
297.24862431,0.027404498
297.26863432,0.027431326
297.28864432,0.02745777
297.30865433,0.0274838
297.32866433,0.027509369
297.34867434,0.027534565
297.36868434,0.027559295
297.38869435,0.027583575
297.40870435,0.0276074
297.42871436,0.027630739
297.44872436,0.027653608
297.46873437,0.027675986
297.48874437,0.027697887
297.50875438,0.027719235
297.52876438,0.027740095
297.54877439,0.027760409
297.56878439,0.02778022
297.5887944,0.027799489
297.6088044,0.027818203
297.62881441,0.027836367
297.64882441,0.027853955
297.66883442,0.027870962
297.68884442,0.027887404
297.70885443,0.027903305
297.72886443,0.027918592
297.74887444,0.027933298
297.76888444,0.027947417
297.78889445,0.027960941
297.80890445,0.027973834
297.82891446,0.027986141
297.84892446,0.027997868
297.86893447,0.028008934
297.88894447,0.028019458
297.90895448,0.028029295
297.92896448,0.028038559
297.94897449,0.028047161
297.96898449,0.028055198
297.9889945,0.028062562
298.0090045,0.028069336
298.02901451,0.028075492
298.04902451,0.028081028
298.06903452,0.028085923
298.08904452,0.028090203
298.10905453,0.028093884
298.12906453,0.028096901
298.14907454,0.028099352
298.16908454,0.028101152
298.18909455,0.028102359
298.20910455,0.028102955
298.22911456,0.028102938
298.24912456,0.028102295
298.26913457,0.028101105
298.28914457,0.028099298
298.30915458,0.028096898
298.32916458,0.028093871
298.34917459,0.028090272
298.36918459,0.028086113
298.3891946,0.028081367
298.4092046,0.028076045
298.42921461,0.028070163
298.44922461,0.028063722
298.46923462,0.02805673
298.48924462,0.028049199
298.50925463,0.028041082
298.52926463,0.028032465
298.54927464,0.028023301
298.56928464,0.028013613
298.58929465,0.028003413
298.60930465,0.027992697
298.62931466,0.027981503
298.64932466,0.027969817
298.66933467,0.027957605
298.68934467,0.02794496
298.70935468,0.027931755
298.72936468,0.027918171
298.74937469,0.027904147
298.76938469,0.02788963
298.7893947,0.027874688
298.8094047,0.027859299
298.82941471,0.027843507
298.84942471,0.027827315
298.86943472,0.027810721
298.88944472,0.027793711
298.90945473,0.027776301
298.92946473,0.027758541
298.94947474,0.027740432
298.96948474,0.027721953
298.98949475,0.027703123
299.00950475,0.027683992
299.02951476,0.027664466
299.04952476,0.027644638
299.06953477,0.02762454
299.08954477,0.027604131
299.10955478,0.027583409
299.12956478,0.027562432
299.14957479,0.027541194
299.16958479,0.027519684
299.1895948,0.027497919
299.2096048,0.02747591
299.22961481,0.027453698
299.24962481,0.027431233
299.26963482,0.027408596
299.28964482,0.027385766
299.30965483,0.02736271
299.32966483,0.027339485
299.34967484,0.027316084
299.36968484,0.027292555
299.38969485,0.027268853
299.40970485,0.027244998
299.42971486,0.027221017
299.44972486,0.027196921
299.46973487,0.027172761
299.48974487,0.027148467
299.50975488,0.027124064
299.52976488,0.027099593
299.54977489,0.027075041
299.56978489,0.027050417
299.5897949,0.027025746
299.6098049,0.027001046
299.62981491,0.026976304
299.64982491,0.026951548
299.66983492,0.026926743
299.68984492,0.026901947
299.70985493,0.026877131
299.72986493,0.026852343
299.74987494,0.026827564
299.76988494,0.026802819
299.78989495,0.026778109
299.80990495,0.026753375
299.82991496,0.026728803
299.84992496,0.026704183
299.86993497,0.026679685
299.88994497,0.026655201
299.90995498,0.026630858
299.92996498,0.026606575
299.94997499,0.026582381
299.96998499,0.026558327
299.989995,0.026534325
300.010005,0.026510483
300.03001501,0.02648671
300.05002501,0.026463078
300.07003502,0.026439594
300.09004502,0.026416274
300.11005503,0.026393037
300.13006503,0.026369989
300.15007504,0.026347103
300.17008504,0.026324393
300.19009505,0.026301781
300.21010505,0.026279394
300.23011506,0.026257185
300.25012506,0.026235145
300.27013507,0.026213309
300.29014507,0.026191646
300.31015508,0.026170172
300.33016508,0.026148915
300.35017509,0.026127852
300.37018509,0.026106993
300.3901951,0.026086345
300.4102051,0.02606594
300.43021511,0.026045717
300.45022511,0.026025696
300.47023512,0.026005955
300.49024512,0.025986398
300.51025513,0.025967099
300.53026513,0.025948018
300.55027514,0.025929177
300.57028514,0.025910547
300.59029515,0.025892168
300.61030515,0.025874054
300.63031516,0.025856156
300.65032516,0.025838505
300.67033517,0.025821097
300.69034517,0.025803935
300.71035518,0.025786994
300.73036518,0.025770349
300.75037519,0.025753941
300.77038519,0.025737783
300.7903952,0.025721854
300.8104052,0.025706159
300.83041521,0.025690768
300.85042521,0.02567558
300.87043522,0.025660653
300.89044522,0.025645969
300.91045523,0.025631549
300.93046523,0.025617363
300.95047524,0.025603417
300.97048524,0.025589725
300.99049525,0.025576277
301.01050525,0.025563041
301.03051526,0.025550108
301.05052526,0.025537381
301.07053527,0.02552489
301.09054527,0.025512626
301.11055528,0.025500597
301.13056528,0.025488814
301.15057529,0.025477245
301.17058529,0.025465889
301.1905953,0.025454802
301.2106053,0.025443904
301.23061531,0.025433263
301.25062531,0.0254228
301.27063532,0.025412597
301.29064532,0.025402533
301.31065533,0.025392737
301.33066533,0.025383122
301.35067534,0.025373701
301.37068534,0.025364459
301.39069535,0.02535546
301.41070535,0.025346624
301.43071536,0.025337981
301.45072536,0.025329499
301.47073537,0.025321223
301.49074537,0.025313118
301.51075538,0.025305191
301.53076538,0.025297394
301.55077539,0.025289772
301.57078539,0.025282349
301.5907954,0.025275052
301.6108054,0.025267882
301.63081541,0.025260869
301.65082541,0.025254013
301.67083542,0.025247321
301.69084542,0.025240704
301.71085543,0.025234202
301.73086543,0.025227856
301.75087544,0.025221597
301.77088544,0.025215484
301.79089545,0.025209451
301.81090545,0.025203509
301.83091546,0.025197718
301.85092546,0.025191948
301.87093547,0.025186319
301.89094547,0.02518074
301.91095548,0.025175225
301.93096548,0.025169812
301.95097549,0.025164453
301.97098549,0.025159163
301.9909955,0.025153911
302.0110055,0.025148707
302.03101551,0.025143547
302.05102551,0.025138438
302.07103552,0.02513336
302.09104552,0.025128305
302.11105553,0.025123272
302.13106553,0.02511825
302.15107554,0.025113262
302.17108554,0.025108229
302.19109555,0.025103252
302.21110555,0.025098238
302.23111556,0.025093215
302.25112556,0.025088195
302.27113557,0.025083113
302.29114557,0.025078034
302.31115558,0.025072932
